# Hyperliquid High-Liquidity Perpetual Pairs
# Generated: 2026-01-22 10:06
# Filter: 24h Volume >= $1M, excludes k-derivatives
# Total: 65 pairs
#
# Ticker       |     24h Volume
# ------------------------------
BTC          | $     4,077.1M
ETH          | $     3,218.3M
SOL          | $       516.6M
HYPE         | $       277.4M
XRP          | $       168.4M
ZEC          | $        47.3M
FARTCOIN     | $        38.1M
PUMP         | $        34.1M
PAXG         | $        33.9M
AXS          | $        23.8M
XMR          | $        23.2M
SKR          | $        18.6M
DOGE         | $        15.4M
LIT          | $        14.5M
SUI          | $        14.3M
ENA          | $        11.2M
DASH         | $        10.9M
LTC          | $        10.3M
TAO          | $         8.8M
BERA         | $         8.8M
BNB          | $         8.7M
ASTER        | $         8.4M
ZRO          | $         8.2M
LINK         | $         8.0M
AVAX         | $         7.5M
CRV          | $         7.4M
XPL          | $         7.2M
WLFI         | $         7.1M
UNI          | $         7.0M
MON          | $         6.9M
AAVE         | $         6.6M
PENGU        | $         6.5M
IP           | $         5.1M
PENDLE       | $         4.8M
ADA          | $         4.7M
RESOLV       | $         3.8M
VIRTUAL      | $         3.8M
BCH          | $         3.5M
CC           | $         3.1M
SPX          | $         3.0M
WIF          | $         2.7M
SAND         | $         2.4M
WLD          | $         2.3M
TRUMP        | $         2.1M
ARB          | $         2.1M
MET          | $         2.1M
VVV          | $         2.1M
APT          | $         2.0M
KAITO        | $         2.0M
JUP          | $         1.9M
POL          | $         1.9M
TRX          | $         1.9M
TON          | $         1.8M
RENDER       | $         1.7M
NEAR         | $         1.7M
LDO          | $         1.5M
FET          | $         1.5M
SEI          | $         1.5M
EIGEN        | $         1.4M
ICP          | $         1.4M
STRK         | $         1.1M
ZEN          | $         1.1M
MERL         | $         1.1M
ONDO         | $         1.1M
DOT          | $         1.0M
